"latlng","name","type"
"30.3932636,78.0736055","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3963321,78.07545440000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.396393300000003,78.0748734","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.395563,78.0757248","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.4066392,78.074999","Bhagwant Pur Salan Gaon ","[u'sublocality_level_1', u'sublocality', u'political'] [u'sublocality_level_2', u'sublocality', u'political'] "
"30.397052399999996,78.074219","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3972958,78.07385140000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397314299999998,78.07405200000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.395706,78.0754967","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.392853000000002,78.07394520000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3954149,78.07411379999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3954675,78.07374870000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"29.321008399999997,78.4975891","Dhampur Hakimpur Jassu ","[u'locality', u'political'] [u'locality', u'political'] "
"30.3970826,78.0741857","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3978554,78.0745088","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398053000000004,78.0744865","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397613899999996,78.0747762","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398647600000004,78.0755228","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398612,78.0749942","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"28.5002163,77.16820909999998","New Delhi Manglapuri Village ","[u'locality', u'political'] [u'sublocality_level_2', u'sublocality', u'political'] "
"28.5002142,77.1681867","New Delhi Manglapuri Village ","[u'locality', u'political'] [u'sublocality_level_2', u'sublocality', u'political'] "
"28.500206199999997,77.1682204","New Delhi Manglapuri Village ","[u'locality', u'political'] [u'sublocality_level_2', u'sublocality', u'political'] "
"30.399703600000002,78.0768662","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3999157,78.07664809999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3994146,78.0760242","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398829499999998,78.07460909999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3976299,78.0747094","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3981336,78.07437579999998","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398187100000005,78.07389599999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397926899999998,78.0738402","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.4120934,78.0764253","Bhagwant Pur Salan Gaon ","[u'sublocality_level_1', u'sublocality', u'political'] [u'sublocality_level_2', u'sublocality', u'political'] "
"30.3981891,78.07391820000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398160999999998,78.07397399999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3981267,78.0739628","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3978975,78.074364","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397685,78.07430620000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399477299999997,78.0761021","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399572999999997,78.0766593","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399718,78.07654790000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399482300000003,78.0766907","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.400112100000005,78.0765152","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3995604,78.076403","Dehradun Café Coffee Day - Dit Bhagwant Pur ","[u'locality', u'political'] [u'cafe', u'store', u'restaurant', u'food', u'point_of_interest', u'establishment'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3992526,78.07679300000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3997804,78.0765033","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3977608,78.07456440000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397405499999998,78.0743193","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3977977,78.0737622","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3973141,78.07392940000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398505,78.07469820000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398755600000005,78.07501020000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399824699999996,78.0765033","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399435399999998,78.0763696","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3997722,78.0764142","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3998186,78.0764365","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399790399999997,78.0764922","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399851,78.07654790000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399520000000003,78.07632509999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399467600000005,78.0763585","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399659200000002,78.0763919","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399754100000003,78.0764588","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3995483,78.0763919","Dehradun Café Coffee Day - Dit Bhagwant Pur ","[u'locality', u'political'] [u'cafe', u'store', u'restaurant', u'food', u'point_of_interest', u'establishment'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399784499999996,78.07654790000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399827000000002,78.07664809999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3990454,78.0778264","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398937899999996,78.0774308","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.4019734,78.0821301","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.396980100000004,78.07438909999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397352899999998,78.0742302","Dehradun DIT BOSE Hostel Block 2 Bhagwant Pur ","[u'locality', u'political'] [u'lodging', u'point_of_interest', u'establishment'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397306699999998,78.0743305","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.393121100000002,78.07464250000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.395974699999996,78.0740137","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397524199999996,78.0741864","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397485800000002,78.07437159999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397394800000004,78.0739628","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3976158,78.0746759","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3972999,78.07389599999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3974411,78.0745332","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3973588,78.0741745","Dehradun DIT BOSE Hostel Block 2 Bhagwant Pur ","[u'locality', u'political'] [u'lodging', u'point_of_interest', u'establishment'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397664199999998,78.0747205","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397762800000002,78.0745868","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.396816499999996,78.0741857","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397242,78.0742302","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397910600000003,78.07466409999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398328000000003,78.0749434","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398636600000003,78.0755317","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398386699999996,78.07509940000001","Dehradun Mechanical Depatment Bhagwant Pur ","[u'locality', u'political'] [u'university', u'point_of_interest', u'establishment'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3994803,78.0767373","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399642600000004,78.0772944","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399382899999996,78.07680069999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3659437,78.0653379","Dehradun Jakhan ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.365923499999997,78.0653602","Dehradun Jakhan ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3994099,78.07681529999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3994321,78.07643449999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3993179,78.07649479999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3994203,78.07652579999998","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399595899999998,78.0763474","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399555499999998,78.07623149999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399389799999998,78.07605059999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.399284299999998,78.0759156","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3990773,78.0756757","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3989778,78.07553100000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3988958,78.07544200000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398763199999998,78.07529759999998","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3986962,78.0751594","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3986627,78.07495909999999","Dehradun Petroleum Block (DIT University) Bhagwant Pur ","[u'locality', u'political'] [u'point_of_interest', u'establishment'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.398243800000003,78.07523309999999","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.396993900000002,78.0741857","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.397544699999997,78.0743862","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.4001201,78.07357270000001","Dehradun Bhagwant Pur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.365528899999997,78.07178990000001","Dehradun Jakhan ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.367195000000002,78.0719347","156, Rajpur Rd Dehradun ","[u'route'] [u'locality', u'political'] "
"30.3649832,78.0698399","Dehradun Malsi ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.363939600000002,78.0693496","Rajpur Road Dehradun ","[u'route'] [u'locality', u'political'] "
"30.363172,78.068603","Rajpur Road Dehradun ","[u'route'] [u'locality', u'political'] "
"30.3600457,78.06729909999999","Rajpur Road Dehradun ","[u'route'] [u'locality', u'political'] "
"30.3599975,78.0672014","Dehradun Jakhan ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3598768,78.06741099999999","Rajpur Road Dehradun ","[u'route'] [u'locality', u'political'] "
"30.3551002,78.0649145","Dehradun Hathibarkala ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.359455,78.0675109","Dehradun Jakhan ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3426304,78.0610587","Dehradun Radha Palace Hathibarkala Salwala ","[u'locality', u'political'] [u'premise', u'lodging', u'point_of_interest', u'establishment'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.340866,78.06021170000001","Dehradun Hathibarkala Salwala ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3386376,78.0581835","Dehradun Hathibarkala Salwala ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3360619,78.0547955","Dilaram Chowk T.S.F. Shoes - Factory Outlet Samsung Smart Plaza Eagle Security Force in Dehradun Corio Stain Glass Dehradun ","[u'route'] [u'shoe_store', u'store', u'point_of_interest', u'establishment'] [u'point_of_interest', u'establishment'] [u'point_of_interest', u'establishment'] [u'shoe_store', u'store', u'point_of_interest', u'establishment'] [u'store', u'point_of_interest', u'establishment'] [u'locality', u'political'] "
"30.3313268,78.0479158","Dehradun Om Books Retail Sterling Realty Amigos Career Trends Consulting pvt LTD Chukkuwala ","[u'locality', u'political'] [u'book_store', u'store', u'point_of_interest', u'establishment'] [u'real_estate_agency', u'point_of_interest', u'establishment'] [u'point_of_interest', u'establishment'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3260665,78.0517735","Dehradun Karanpur ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.324185999999997,78.04155279999999","Paltan Bazar Road Dehradun ","[u'route'] [u'locality', u'political'] "
"30.320075899999996,78.0404293","Gandhi Road Dehradun ","[u'route'] [u'locality', u'political'] "
"30.315712400000002,78.03722990000001","59, Gandhi Rd, Dhamawala Mohalla Dehradun ","[u'route'] [u'locality', u'political'] "
"30.3157641,78.03733609999999","59, Gandhi Rd, Dhamawala Mohalla Omega Motors Dehradun ","[u'route'] [u'car_repair', u'store', u'point_of_interest', u'establishment'] [u'locality', u'political'] "
"30.3170534,78.0364507","Dehradun Paltan Bazaar ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.3143934,78.0336291","Dehradun Lakkhi Bagh ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.307564199999998,78.00898029999999","Dehradun Kaonli ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.314286,78.0334048","Dehradun Lakkhi Bagh ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.313336199999995,78.0335803","Dehradun Lakkhi Bagh ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.312017100000002,78.03434279999999","Dehradun Race Course ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.300694300000004,78.0386231","Dehradun Ajabpur Kalan ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.290603000000004,78.05372129999999","Dehradun Ajabpur Kalan ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"30.2802717,78.0675109","ROOPNAGAR BADRIPUR Dehradun ","[u'route'] [u'locality', u'political'] "
"30.2567689,78.09781679999999","Harrawala ","[u'sublocality_level_1', u'sublocality', u'political'] "
"30.240821399999998,78.1060157","Kuwan Wala ","[u'sublocality_level_1', u'sublocality', u'political'] "
"30.232536100000004,78.1241937","Balawala Nakraunda ","[u'sublocality_level_1', u'sublocality', u'political'] [u'locality', u'political'] "
"30.212797100000003,78.1259757","Lachhiwala Range ","[u'locality', u'political'] "
"30.1613734,78.1156398","Teliwala ","[u'locality', u'political'] "
"30.143904499999998,78.1502078","Mazari Grant Fatehpur Danda ","[u'locality', u'political'] [u'locality', u'political'] "
"30.189741499999997,78.1537709","Joly Grant Bhaniawala ","[u'sublocality_level_1', u'sublocality', u'political'] [u'locality', u'political'] "
"30.078553600000003,78.178709","Motichur Range Chidderwala ","[u'locality', u'political'] [u'locality', u'political'] "
"29.9928673,78.1915321","Haridwar Motichur Range ","[u'locality', u'political'] [u'locality', u'political'] "
"29.957976600000002,78.1719406","Haridwar Har Ki Pauri ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
"29.9514067,78.1623218","Haridwar ","[u'locality', u'political'] "
"29.920574699999996,78.1126425","Haridwar Jwalapur ","[u'locality', u'political'] [u'locality', u'political'] "
"29.882013099999998,78.0963908","Bhagtanpur Abidpur Urf Ibrahim ","[u'locality', u'political'] "
"29.8650401,78.0899737","Bhagtanpur Abidpur Urf Ibrahim ","[u'locality', u'political'] "
"29.8113414,78.03648299999999","Aithal Buzurg ","[u'locality', u'political'] "
"29.855304600000004,77.84869870000001","Paneyala,Chandapur ","[u'locality', u'political'] "
"29.853613899999996,77.78472109999998","Manakpur Adampur ","[u'locality', u'political'] "
"29.8532451,77.62193","Bhat Kheri ","[u'locality', u'political'] "
"29.7493765,77.6530755","Sakhan Kalan ","[u'locality', u'political'] "
"29.6748494,77.6713291","Noorpur Dehat ","[u'locality', u'political'] "
"29.482504,77.7081853","Muzaffarnagar Saket Colony ","[u'locality', u'political'] [u'sublocality_level_1', u'sublocality', u'political'] "
